client_id,age,income,years_employed,credit_score,debt_to_income,num_credit_cards,num_late_payments,has_mortgage,has_car_loan,savings_balance,checking_balance,region_risk_score,phone_calls_to_support_last_3m,active_loans,customer_tenure_years,default
0,59,135312,36,622,0.7317760950376724,0,0,0,1,23251,24144,0.8769382851037327,2,1,6,1
1,49,154401,15,480,0.16473400888772405,7,0,1,0,24238,9091,0.5477846040483869,1,0,3,1
2,35,180937,21,798,0.35135593465492676,3,0,0,1,60044,17455,0.5792599406346188,2,0,2,1
3,63,61850,19,619,0.2648662578135714,4,1,1,0,27723,29818,0.6617073908499546,0,2,0,0
4,28,69220,26,382,0.3498616942224785,4,0,1,1,34973,-1879,0.30023094756287705,4,0,6,1
5,41,108808,15,602,0.7083240490779703,1,0,1,0,94292,4116,0.4327863113504118,2,3,4,1
6,59,152469,33,561,0.367847181142801,7,1,0,0,8513,-29,0.7416057622062988,3,4,16,1
7,39,181597,31,499,0.5552633226079402,5,0,1,0,43316,39535,0.9854869685389853,1,1,16,0
8,43,68072,25,539,0.09993187705440965,1,1,0,1,30225,24644,0.03430554006453024,1,2,14,1
9,31,98820,24,594,0.8050176932346278,6,0,0,0,4379,19079,0.04264849794656744,3,2,2,1
10,31,38284,1,811,0.36988862564812486,5,0,0,0,11305,23327,0.4280824819829282,2,2,2,1
11,44,98369,11,695,0.6485341590333424,5,0,0,1,31722,31122,0.6596218348096133,1,2,1,1
12,56,40122,39,437,0.7253896016618326,5,2,0,1,77684,32242,0.38636462483531686,2,1,7,0
13,60,145349,8,428,0.2096609221117004,5,0,0,0,55429,-1603,0.9996386539651794,3,2,12,1
14,44,85553,11,348,0.88467498495335,4,1,1,1,78437,49569,0.19535925808613586,1,1,5,0
15,23,109788,25,592,0.6162242516069529,7,0,1,1,76424,47920,0.0079254580074275,1,2,4,0
16,42,77812,8,835,0.42872514175148146,6,1,0,0,95635,34049,0.1901293623127691,3,2,12,1
17,22,22999,9,610,0.18233518357821954,4,0,0,0,42476,7412,0.886842375101301,2,4,0,0
18,44,37436,31,836,0.9423009379012067,2,2,1,0,44253,47133,0.1451489928684646,5,3,17,0
19,64,57963,33,533,0.7550682041316251,6,3,1,0,20708,43519,0.47897478030664076,2,0,6,1
20,50,148168,19,508,0.20802456273324887,4,1,0,1,64963,521,0.4192761807214481,3,0,16,0
21,58,171351,38,393,0.3377107747242245,1,1,1,0,27621,24151,0.6657253212911289,0,0,7,1
22,22,123899,1,626,0.8096742580880733,4,0,0,0,30001,-1528,0.054595586419452946,2,3,18,0
23,41,41201,0,524,0.695677663215339,6,1,1,0,98107,46769,0.658750171066226,1,1,15,0
24,53,165787,35,310,0.7657842927157243,6,1,1,1,14220,481,0.3547516439823354,3,0,13,0
25,32,175381,23,628,0.4412011022129324,1,1,1,0,90230,33977,0.9260395590824988,4,0,19,1
26,42,161150,26,311,0.7164762626421669,0,0,1,0,65122,14883,0.8488873295859058,3,0,9,0
27,64,20105,1,334,0.3864937228639137,7,2,1,0,81757,18379,0.3995062484775861,3,1,1,1
28,45,132666,30,746,0.21126291693819643,6,0,0,1,67907,19265,0.9928918435178526,0,3,15,1
29,69,109848,13,751,0.63267703484136,4,1,0,0,37784,47744,0.05194375265624718,1,3,12,1
30,47,17839,1,519,0.9760139255987942,1,2,1,0,39070,36391,0.7886322200641908,1,1,4,0
31,62,83920,28,740,0.3106009713953296,5,0,0,0,39150,18656,0.4338365240273626,1,4,17,0
32,48,58619,14,834,0.46096959221253964,7,0,0,0,61262,4304,0.4333051445875854,4,2,19,1
33,36,57821,11,528,0.6740013710698536,6,0,1,1,88372,16080,0.17013379814534269,2,1,10,0
